id	nb_de	valeur_1	valeur_2	valeur_3	valeur_4	valeur_5	valeur_6
187	6	1	1	1	6	2	1
188	6	1	1	1	6	2	2
189	6	1	1	1	6	2	3
190	6	1	1	1	6	2	4
191	6	1	1	1	6	2	5
192	6	1	1	1	6	2	6
193	6	1	1	1	6	3	1
194	6	1	1	1	6	3	2
195	6	1	1	1	6	3	3
196	6	1	1	1	6	3	4
197	6	1	1	1	6	3	5
198	6	1	1	1	6	3	6
199	6	1	1	1	6	4	1
200	6	1	1	1	6	4	2
201	6	1	1	1	6	4	3
202	6	1	1	1	6	4	4
203	6	1	1	1	6	4	5
204	6	1	1	1	6	4	6
205	6	1	1	1	6	5	1
206	6	1	1	1	6	5	2
207	6	1	1	1	6	5	3
208	6	1	1	1	6	5	4
209	6	1	1	1	6	5	5
210	6	1	1	1	6	5	6
211	6	1	1	1	6	6	1
212	6	1	1	1	6	6	2
213	6	1	1	1	6	6	3
214	6	1	1	1	6	6	4
215	6	1	1	1	6	6	5
216	6	1	1	1	6	6	6
217	6	1	1	2	1	1	1
218	6	1	1	2	1	1	2
219	6	1	1	2	1	1	3
220	6	1	1	2	1	1	4
221	6	1	1	2	1	1	5
222	6	1	1	2	1	1	6
223	6	1	1	2	1	2	1
224	6	1	1	2	1	2	2
225	6	1	1	2	1	2	3
226	6	1	1	2	1	2	4
227	6	1	1	2	1	2	5
228	6	1	1	2	1	2	6
229	6	1	1	2	1	3	1
230	6	1	1	2	1	3	2
231	6	1	1	2	1	3	3
232	6	1	1	2	1	3	4
233	6	1	1	2	1	3	5
234	6	1	1	2	1	3	6
235	6	1	1	2	1	4	1
236	6	1	1	2	1	4	2
237	6	1	1	2	1	4	3
238	6	1	1	2	1	4	4
239	6	1	1	2	1	4	5
240	6	1	1	2	1	4	6
241	6	1	1	2	1	5	1
242	6	1	1	2	1	5	2
243	6	1	1	2	1	5	3
244	6	1	1	2	1	5	4
245	6	1	1	2	1	5	5
246	6	1	1	2	1	5	6
247	6	1	1	2	1	6	1
248	6	1	1	2	1	6	2
249	6	1	1	2	1	6	3
250	6	1	1	2	1	6	4
251	6	1	1	2	1	6	5
252	6	1	1	2	1	6	6
253	6	1	1	2	2	1	1
254	6	1	1	2	2	1	2
255	6	1	1	2	2	1	3
256	6	1	1	2	2	1	4
257	6	1	1	2	2	1	5
258	6	1	1	2	2	1	6
259	6	1	1	2	2	2	1
260	6	1	1	2	2	2	2
261	6	1	1	2	2	2	3
262	6	1	1	2	2	2	4
263	6	1	1	2	2	2	5
264	6	1	1	2	2	2	6
265	6	1	1	2	2	3	1
266	6	1	1	2	2	3	2
267	6	1	1	2	2	3	3
268	6	1	1	2	2	3	4
269	6	1	1	2	2	3	5
270	6	1	1	2	2	3	6
271	6	1	1	2	2	4	1
272	6	1	1	2	2	4	2
273	6	1	1	2	2	4	3
274	6	1	1	2	2	4	4
275	6	1	1	2	2	4	5
276	6	1	1	2	2	4	6
277	6	1	1	2	2	5	1
278	6	1	1	2	2	5	2
279	6	1	1	2	2	5	3
280	6	1	1	2	2	5	4
281	6	1	1	2	2	5	5
282	6	1	1	2	2	5	6
283	6	1	1	2	2	6	1
284	6	1	1	2	2	6	2
285	6	1	1	2	2	6	3
286	6	1	1	2	2	6	4
287	6	1	1	2	2	6	5
288	6	1	1	2	2	6	6
289	6	1	1	2	3	1	1
290	6	1	1	2	3	1	2
291	6	1	1	2	3	1	3
292	6	1	1	2	3	1	4
293	6	1	1	2	3	1	5
294	6	1	1	2	3	1	6
295	6	1	1	2	3	2	1
296	6	1	1	2	3	2	2
297	6	1	1	2	3	2	3
298	6	1	1	2	3	2	4
299	6	1	1	2	3	2	5
300	6	1	1	2	3	2	6
301	6	1	1	2	3	3	1
302	6	1	1	2	3	3	2
303	6	1	1	2	3	3	3
304	6	1	1	2	3	3	4
305	6	1	1	2	3	3	5
306	6	1	1	2	3	3	6
307	6	1	1	2	3	4	1
308	6	1	1	2	3	4	2
309	6	1	1	2	3	4	3
310	6	1	1	2	3	4	4
311	6	1	1	2	3	4	5
312	6	1	1	2	3	4	6
313	6	1	1	2	3	5	1
314	6	1	1	2	3	5	2
315	6	1	1	2	3	5	3
316	6	1	1	2	3	5	4
317	6	1	1	2	3	5	5
318	6	1	1	2	3	5	6
319	6	1	1	2	3	6	1
320	6	1	1	2	3	6	2
321	6	1	1	2	3	6	3
322	6	1	1	2	3	6	4
323	6	1	1	2	3	6	5
324	6	1	1	2	3	6	6
325	6	1	1	2	4	1	1
326	6	1	1	2	4	1	2
327	6	1	1	2	4	1	3
328	6	1	1	2	4	1	4
329	6	1	1	2	4	1	5
330	6	1	1	2	4	1	6
331	6	1	1	2	4	2	1
332	6	1	1	2	4	2	2
333	6	1	1	2	4	2	3
334	6	1	1	2	4	2	4
335	6	1	1	2	4	2	5
336	6	1	1	2	4	2	6
337	6	1	1	2	4	3	1
338	6	1	1	2	4	3	2
339	6	1	1	2	4	3	3
340	6	1	1	2	4	3	4
341	6	1	1	2	4	3	5
342	6	1	1	2	4	3	6
343	6	1	1	2	4	4	1
344	6	1	1	2	4	4	2
345	6	1	1	2	4	4	3
346	6	1	1	2	4	4	4
347	6	1	1	2	4	4	5
348	6	1	1	2	4	4	6
349	6	1	1	2	4	5	1
350	6	1	1	2	4	5	2
351	6	1	1	2	4	5	3
352	6	1	1	2	4	5	4
353	6	1	1	2	4	5	5
354	6	1	1	2	4	5	6
355	6	1	1	2	4	6	1
356	6	1	1	2	4	6	2
357	6	1	1	2	4	6	3
358	6	1	1	2	4	6	4
359	6	1	1	2	4	6	5
360	6	1	1	2	4	6	6
361	6	1	1	2	5	1	1
362	6	1	1	2	5	1	2
363	6	1	1	2	5	1	3
364	6	1	1	2	5	1	4
365	6	1	1	2	5	1	5
366	6	1	1	2	5	1	6
367	6	1	1	2	5	2	1
368	6	1	1	2	5	2	2
369	6	1	1	2	5	2	3
370	6	1	1	2	5	2	4
371	6	1	1	2	5	2	5
372	6	1	1	2	5	2	6
373	6	1	1	2	5	3	1
374	6	1	1	2	5	3	2
375	6	1	1	2	5	3	3
376	6	1	1	2	5	3	4
377	6	1	1	2	5	3	5
378	6	1	1	2	5	3	6
379	6	1	1	2	5	4	1
380	6	1	1	2	5	4	2
381	6	1	1	2	5	4	3
382	6	1	1	2	5	4	4
383	6	1	1	2	5	4	5
384	6	1	1	2	5	4	6
385	6	1	1	2	5	5	1
386	6	1	1	2	5	5	2
387	6	1	1	2	5	5	3
388	6	1	1	2	5	5	4
389	6	1	1	2	5	5	5
390	6	1	1	2	5	5	6
391	6	1	1	2	5	6	1
392	6	1	1	2	5	6	2
393	6	1	1	2	5	6	3
394	6	1	1	2	5	6	4
395	6	1	1	2	5	6	5
396	6	1	1	2	5	6	6
397	6	1	1	2	6	1	1
398	6	1	1	2	6	1	2
399	6	1	1	2	6	1	3
400	6	1	1	2	6	1	4
401	6	1	1	2	6	1	5
402	6	1	1	2	6	1	6
403	6	1	1	2	6	2	1
404	6	1	1	2	6	2	2
405	6	1	1	2	6	2	3
406	6	1	1	2	6	2	4
407	6	1	1	2	6	2	5
408	6	1	1	2	6	2	6
409	6	1	1	2	6	3	1
410	6	1	1	2	6	3	2
411	6	1	1	2	6	3	3
412	6	1	1	2	6	3	4
413	6	1	1	2	6	3	5
414	6	1	1	2	6	3	6
415	6	1	1	2	6	4	1
416	6	1	1	2	6	4	2
417	6	1	1	2	6	4	3
418	6	1	1	2	6	4	4
419	6	1	1	2	6	4	5
420	6	1	1	2	6	4	6
421	6	1	1	2	6	5	1
422	6	1	1	2	6	5	2
423	6	1	1	2	6	5	3
424	6	1	1	2	6	5	4
425	6	1	1	2	6	5	5
426	6	1	1	2	6	5	6
427	6	1	1	2	6	6	1
428	6	1	1	2	6	6	2
429	6	1	1	2	6	6	3
430	6	1	1	2	6	6	4
431	6	1	1	2	6	6	5
432	6	1	1	2	6	6	6
433	6	1	1	3	1	1	1
434	6	1	1	3	1	1	2
435	6	1	1	3	1	1	3
436	6	1	1	3	1	1	4
437	6	1	1	3	1	1	5
438	6	1	1	3	1	1	6
439	6	1	1	3	1	2	1
440	6	1	1	3	1	2	2
441	6	1	1	3	1	2	3
442	6	1	1	3	1	2	4
443	6	1	1	3	1	2	5
444	6	1	1	3	1	2	6
445	6	1	1	3	1	3	1
446	6	1	1	3	1	3	2
447	6	1	1	3	1	3	3
448	6	1	1	3	1	3	4
449	6	1	1	3	1	3	5
450	6	1	1	3	1	3	6
451	6	1	1	3	1	4	1
452	6	1	1	3	1	4	2
453	6	1	1	3	1	4	3
454	6	1	1	3	1	4	4
455	6	1	1	3	1	4	5
456	6	1	1	3	1	4	6
457	6	1	1	3	1	5	1
458	6	1	1	3	1	5	2
459	6	1	1	3	1	5	3
460	6	1	1	3	1	5	4
461	6	1	1	3	1	5	5
462	6	1	1	3	1	5	6
463	6	1	1	3	1	6	1
464	6	1	1	3	1	6	2
465	6	1	1	3	1	6	3
466	6	1	1	3	1	6	4
467	6	1	1	3	1	6	5
468	6	1	1	3	1	6	6
469	6	1	1	3	2	1	1
470	6	1	1	3	2	1	2
471	6	1	1	3	2	1	3
472	6	1	1	3	2	1	4
473	6	1	1	3	2	1	5
474	6	1	1	3	2	1	6
475	6	1	1	3	2	2	1
476	6	1	1	3	2	2	2
477	6	1	1	3	2	2	3
478	6	1	1	3	2	2	4
479	6	1	1	3	2	2	5
480	6	1	1	3	2	2	6
481	6	1	1	3	2	3	1
482	6	1	1	3	2	3	2
483	6	1	1	3	2	3	3
484	6	1	1	3	2	3	4
485	6	1	1	3	2	3	5
486	6	1	1	3	2	3	6
487	6	1	1	3	2	4	1
488	6	1	1	3	2	4	2
489	6	1	1	3	2	4	3
490	6	1	1	3	2	4	4
491	6	1	1	3	2	4	5
492	6	1	1	3	2	4	6
493	6	1	1	3	2	5	1
494	6	1	1	3	2	5	2
495	6	1	1	3	2	5	3
496	6	1	1	3	2	5	4
497	6	1	1	3	2	5	5
498	6	1	1	3	2	5	6
499	6	1	1	3	2	6	1
500	6	1	1	3	2	6	2
501	6	1	1	3	2	6	3
502	6	1	1	3	2	6	4
503	6	1	1	3	2	6	5
504	6	1	1	3	2	6	6
505	6	1	1	3	3	1	1
506	6	1	1	3	3	1	2
507	6	1	1	3	3	1	3
508	6	1	1	3	3	1	4
509	6	1	1	3	3	1	5
510	6	1	1	3	3	1	6
511	6	1	1	3	3	2	1
512	6	1	1	3	3	2	2
513	6	1	1	3	3	2	3
514	6	1	1	3	3	2	4
515	6	1	1	3	3	2	5
516	6	1	1	3	3	2	6
517	6	1	1	3	3	3	1
518	6	1	1	3	3	3	2
519	6	1	1	3	3	3	3
520	6	1	1	3	3	3	4
521	6	1	1	3	3	3	5
522	6	1	1	3	3	3	6
523	6	1	1	3	3	4	1
524	6	1	1	3	3	4	2
525	6	1	1	3	3	4	3
526	6	1	1	3	3	4	4
527	6	1	1	3	3	4	5
528	6	1	1	3	3	4	6
529	6	1	1	3	3	5	1
530	6	1	1	3	3	5	2
531	6	1	1	3	3	5	3
532	6	1	1	3	3	5	4
533	6	1	1	3	3	5	5
534	6	1	1	3	3	5	6
535	6	1	1	3	3	6	1
536	6	1	1	3	3	6	2
537	6	1	1	3	3	6	3
538	6	1	1	3	3	6	4
539	6	1	1	3	3	6	5
540	6	1	1	3	3	6	6
541	6	1	1	3	4	1	1
542	6	1	1	3	4	1	2
543	6	1	1	3	4	1	3
544	6	1	1	3	4	1	4
545	6	1	1	3	4	1	5
546	6	1	1	3	4	1	6
547	6	1	1	3	4	2	1
548	6	1	1	3	4	2	2
549	6	1	1	3	4	2	3
550	6	1	1	3	4	2	4
551	6	1	1	3	4	2	5
552	6	1	1	3	4	2	6
553	6	1	1	3	4	3	1
554	6	1	1	3	4	3	2
555	6	1	1	3	4	3	3
556	6	1	1	3	4	3	4
557	6	1	1	3	4	3	5
558	6	1	1	3	4	3	6
559	6	1	1	3	4	4	1
560	6	1	1	3	4	4	2
561	6	1	1	3	4	4	3
562	6	1	1	3	4	4	4
563	6	1	1	3	4	4	5
564	6	1	1	3	4	4	6
565	6	1	1	3	4	5	1
566	6	1	1	3	4	5	2
567	6	1	1	3	4	5	3
568	6	1	1	3	4	5	4
569	6	1	1	3	4	5	5
570	6	1	1	3	4	5	6
571	6	1	1	3	4	6	1
572	6	1	1	3	4	6	2
573	6	1	1	3	4	6	3
574	6	1	1	3	4	6	4
575	6	1	1	3	4	6	5
576	6	1	1	3	4	6	6
577	6	1	1	3	5	1	1
578	6	1	1	3	5	1	2
579	6	1	1	3	5	1	3
580	6	1	1	3	5	1	4
581	6	1	1	3	5	1	5
582	6	1	1	3	5	1	6
583	6	1	1	3	5	2	1
584	6	1	1	3	5	2	2
585	6	1	1	3	5	2	3
586	6	1	1	3	5	2	4
587	6	1	1	3	5	2	5
588	6	1	1	3	5	2	6
589	6	1	1	3	5	3	1
590	6	1	1	3	5	3	2
591	6	1	1	3	5	3	3
592	6	1	1	3	5	3	4
593	6	1	1	3	5	3	5
594	6	1	1	3	5	3	6
595	6	1	1	3	5	4	1
596	6	1	1	3	5	4	2
597	6	1	1	3	5	4	3
598	6	1	1	3	5	4	4
599	6	1	1	3	5	4	5
600	6	1	1	3	5	4	6
601	6	1	1	3	5	5	1
602	6	1	1	3	5	5	2
603	6	1	1	3	5	5	3
604	6	1	1	3	5	5	4
605	6	1	1	3	5	5	5
606	6	1	1	3	5	5	6
607	6	1	1	3	5	6	1
608	6	1	1	3	5	6	2
609	6	1	1	3	5	6	3
610	6	1	1	3	5	6	4
611	6	1	1	3	5	6	5
612	6	1	1	3	5	6	6
613	6	1	1	3	6	1	1
614	6	1	1	3	6	1	2
615	6	1	1	3	6	1	3
616	6	1	1	3	6	1	4
617	6	1	1	3	6	1	5
618	6	1	1	3	6	1	6
619	6	1	1	3	6	2	1
620	6	1	1	3	6	2	2
621	6	1	1	3	6	2	3
622	6	1	1	3	6	2	4
623	6	1	1	3	6	2	5
624	6	1	1	3	6	2	6
625	6	1	1	3	6	3	1
626	6	1	1	3	6	3	2
627	6	1	1	3	6	3	3
628	6	1	1	3	6	3	4
629	6	1	1	3	6	3	5
630	6	1	1	3	6	3	6
631	6	1	1	3	6	4	1
632	6	1	1	3	6	4	2
633	6	1	1	3	6	4	3
634	6	1	1	3	6	4	4
635	6	1	1	3	6	4	5
636	6	1	1	3	6	4	6
637	6	1	1	3	6	5	1
638	6	1	1	3	6	5	2
639	6	1	1	3	6	5	3
640	6	1	1	3	6	5	4
641	6	1	1	3	6	5	5
642	6	1	1	3	6	5	6
643	6	1	1	3	6	6	1
644	6	1	1	3	6	6	2
645	6	1	1	3	6	6	3
646	6	1	1	3	6	6	4
647	6	1	1	3	6	6	5
648	6	1	1	3	6	6	6
649	6	1	1	4	1	1	1
650	6	1	1	4	1	1	2
651	6	1	1	4	1	1	3
652	6	1	1	4	1	1	4
653	6	1	1	4	1	1	5
654	6	1	1	4	1	1	6
655	6	1	1	4	1	2	1
656	6	1	1	4	1	2	2
657	6	1	1	4	1	2	3
658	6	1	1	4	1	2	4
659	6	1	1	4	1	2	5
660	6	1	1	4	1	2	6
661	6	1	1	4	1	3	1
662	6	1	1	4	1	3	2
663	6	1	1	4	1	3	3
664	6	1	1	4	1	3	4
665	6	1	1	4	1	3	5
666	6	1	1	4	1	3	6
667	6	1	1	4	1	4	1
668	6	1	1	4	1	4	2
669	6	1	1	4	1	4	3
670	6	1	1	4	1	4	4
671	6	1	1	4	1	4	5
672	6	1	1	4	1	4	6
673	6	1	1	4	1	5	1
674	6	1	1	4	1	5	2
675	6	1	1	4	1	5	3
676	6	1	1	4	1	5	4
677	6	1	1	4	1	5	5
678	6	1	1	4	1	5	6
679	6	1	1	4	1	6	1
680	6	1	1	4	1	6	2
681	6	1	1	4	1	6	3
682	6	1	1	4	1	6	4
683	6	1	1	4	1	6	5
684	6	1	1	4	1	6	6
685	6	1	1	4	2	1	1
686	6	1	1	4	2	1	2
687	6	1	1	4	2	1	3
688	6	1	1	4	2	1	4
689	6	1	1	4	2	1	5
690	6	1	1	4	2	1	6
691	6	1	1	4	2	2	1
692	6	1	1	4	2	2	2
693	6	1	1	4	2	2	3
694	6	1	1	4	2	2	4
695	6	1	1	4	2	2	5
696	6	1	1	4	2	2	6
697	6	1	1	4	2	3	1
698	6	1	1	4	2	3	2
699	6	1	1	4	2	3	3
700	6	1	1	4	2	3	4
701	6	1	1	4	2	3	5
702	6	1	1	4	2	3	6
703	6	1	1	4	2	4	1
704	6	1	1	4	2	4	2
705	6	1	1	4	2	4	3
706	6	1	1	4	2	4	4
707	6	1	1	4	2	4	5
708	6	1	1	4	2	4	6
709	6	1	1	4	2	5	1
710	6	1	1	4	2	5	2
711	6	1	1	4	2	5	3
712	6	1	1	4	2	5	4
713	6	1	1	4	2	5	5
714	6	1	1	4	2	5	6
715	6	1	1	4	2	6	1
716	6	1	1	4	2	6	2
717	6	1	1	4	2	6	3
718	6	1	1	4	2	6	4
719	6	1	1	4	2	6	5
720	6	1	1	4	2	6	6
721	6	1	1	4	3	1	1
722	6	1	1	4	3	1	2
723	6	1	1	4	3	1	3
724	6	1	1	4	3	1	4
725	6	1	1	4	3	1	5
726	6	1	1	4	3	1	6
727	6	1	1	4	3	2	1
728	6	1	1	4	3	2	2
729	6	1	1	4	3	2	3
730	6	1	1	4	3	2	4
731	6	1	1	4	3	2	5
732	6	1	1	4	3	2	6
733	6	1	1	4	3	3	1
734	6	1	1	4	3	3	2
735	6	1	1	4	3	3	3
736	6	1	1	4	3	3	4
737	6	1	1	4	3	3	5
738	6	1	1	4	3	3	6
739	6	1	1	4	3	4	1
740	6	1	1	4	3	4	2
741	6	1	1	4	3	4	3
742	6	1	1	4	3	4	4
743	6	1	1	4	3	4	5
744	6	1	1	4	3	4	6
745	6	1	1	4	3	5	1
746	6	1	1	4	3	5	2
747	6	1	1	4	3	5	3
748	6	1	1	4	3	5	4
749	6	1	1	4	3	5	5
750	6	1	1	4	3	5	6
751	6	1	1	4	3	6	1
752	6	1	1	4	3	6	2
753	6	1	1	4	3	6	3
754	6	1	1	4	3	6	4
755	6	1	1	4	3	6	5
756	6	1	1	4	3	6	6
757	6	1	1	4	4	1	1
758	6	1	1	4	4	1	2
759	6	1	1	4	4	1	3
760	6	1	1	4	4	1	4
761	6	1	1	4	4	1	5
762	6	1	1	4	4	1	6
763	6	1	1	4	4	2	1
764	6	1	1	4	4	2	2
765	6	1	1	4	4	2	3
766	6	1	1	4	4	2	4
767	6	1	1	4	4	2	5
768	6	1	1	4	4	2	6
769	6	1	1	4	4	3	1
770	6	1	1	4	4	3	2
771	6	1	1	4	4	3	3
772	6	1	1	4	4	3	4
773	6	1	1	4	4	3	5
774	6	1	1	4	4	3	6
775	6	1	1	4	4	4	1
776	6	1	1	4	4	4	2
777	6	1	1	4	4	4	3
778	6	1	1	4	4	4	4
779	6	1	1	4	4	4	5
780	6	1	1	4	4	4	6
781	6	1	1	4	4	5	1
782	6	1	1	4	4	5	2
783	6	1	1	4	4	5	3
784	6	1	1	4	4	5	4
785	6	1	1	4	4	5	5
786	6	1	1	4	4	5	6
787	6	1	1	4	4	6	1
788	6	1	1	4	4	6	2
789	6	1	1	4	4	6	3
790	6	1	1	4	4	6	4
791	6	1	1	4	4	6	5
792	6	1	1	4	4	6	6
793	6	1	1	4	5	1	1
794	6	1	1	4	5	1	2
795	6	1	1	4	5	1	3
796	6	1	1	4	5	1	4
797	6	1	1	4	5	1	5
798	6	1	1	4	5	1	6
799	6	1	1	4	5	2	1
800	6	1	1	4	5	2	2
801	6	1	1	4	5	2	3
802	6	1	1	4	5	2	4
803	6	1	1	4	5	2	5
804	6	1	1	4	5	2	6
805	6	1	1	4	5	3	1
806	6	1	1	4	5	3	2
807	6	1	1	4	5	3	3
808	6	1	1	4	5	3	4
809	6	1	1	4	5	3	5
810	6	1	1	4	5	3	6
811	6	1	1	4	5	4	1
812	6	1	1	4	5	4	2
813	6	1	1	4	5	4	3
814	6	1	1	4	5	4	4
815	6	1	1	4	5	4	5
816	6	1	1	4	5	4	6
817	6	1	1	4	5	5	1
818	6	1	1	4	5	5	2
819	6	1	1	4	5	5	3
820	6	1	1	4	5	5	4
821	6	1	1	4	5	5	5
822	6	1	1	4	5	5	6
823	6	1	1	4	5	6	1
824	6	1	1	4	5	6	2
825	6	1	1	4	5	6	3
826	6	1	1	4	5	6	4
827	6	1	1	4	5	6	5
828	6	1	1	4	5	6	6
829	6	1	1	4	6	1	1
830	6	1	1	4	6	1	2
831	6	1	1	4	6	1	3
832	6	1	1	4	6	1	4
833	6	1	1	4	6	1	5
834	6	1	1	4	6	1	6
835	6	1	1	4	6	2	1
836	6	1	1	4	6	2	2
837	6	1	1	4	6	2	3
838	6	1	1	4	6	2	4
839	6	1	1	4	6	2	5
840	6	1	1	4	6	2	6
841	6	1	1	4	6	3	1
842	6	1	1	4	6	3	2
843	6	1	1	4	6	3	3
844	6	1	1	4	6	3	4
845	6	1	1	4	6	3	5
846	6	1	1	4	6	3	6
847	6	1	1	4	6	4	1
848	6	1	1	4	6	4	2
849	6	1	1	4	6	4	3
850	6	1	1	4	6	4	4
851	6	1	1	4	6	4	5
852	6	1	1	4	6	4	6
853	6	1	1	4	6	5	1
854	6	1	1	4	6	5	2
855	6	1	1	4	6	5	3
856	6	1	1	4	6	5	4
857	6	1	1	4	6	5	5
858	6	1	1	4	6	5	6
859	6	1	1	4	6	6	1
860	6	1	1	4	6	6	2
861	6	1	1	4	6	6	3
862	6	1	1	4	6	6	4
863	6	1	1	4	6	6	5
864	6	1	1	4	6	6	6
865	6	1	1	5	1	1	1
866	6	1	1	5	1	1	2
867	6	1	1	5	1	1	3
868	6	1	1	5	1	1	4
869	6	1	1	5	1	1	5
